Shape *,MSLINK,ID_NUMBER,BLM,RELATIONTO,RELATIONT2,URBAN,NBR_TENN_C,NBR_RT2,SPCL_CSE,CNTY_SEQ,CASENO,TDOTLOC,YEAROFCRAS,DATEOFCRAS,TIMEO,TYPEOFCRAS,TOTALKIL,TOTALINJU,TOTAL_INCA,TOTAL_OTHE,TOTALVEHIC,FIRSTHARMF,MANNEROFCO,WEATHER,LIGHTCONDI,LOCATE_TYP,Hour
Point,512,15SR032001,11.075,NON_JUNCTION,On Roadway,--,COCKE,SR032,0-NONE,1,101965729,Along Roadway,2018,4/3/2018,1430,Prop Damage (under),0,0,0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,14
Point,513,15SR032001,11.076,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102450881,Along Roadway,2019,7/18/2019,1544,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,REAR TO SIDE,Clear,Daylight,Automatic,15
Point,514,15SR032001,11.092,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101100932,Along Roadway,2016,2/5/2016,1515,Suspected Minor Injury,0,2,0,2,2,Vehicle in Transport,HEAD-ON,Clear,Daylight,Automatic,15
Point,515,15SR032001,11.139,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101603880,Along Roadway,2017,4/4/2017,1630,Suspected Minor Injury,0,1,0,1,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,16
Point,516,15SR032001,11.72,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102090246,Along Roadway,2018,7/27/2018,1659,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,"SIDESWIPE, SAME DIR",Clear,Daylight,Automatic,16
Point,517,15SR032001,11.765,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101932132,Along Roadway,2018,2/27/2018,2013,Prop Damage (over),0,0,0,0,1,Other Animal,NO COLLISION W/ VEHICLE,Clear,Dark-Not Lighted,Automatic,20
Point,518,15SR032001,11.947,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101789381,Along Roadway,2017,10/12/2017,1150,Suspected Minor Injury,0,1,0,1,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,11
Point,519,15SR032001,12.234,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101316086,Along Roadway,2016,7/26/2016,1620,Fatal,1,6,2,4,2,Vehicle in Transport,HEAD-ON,Clear,Daylight,Automatic,16
Point,520,15SR032001,12.239,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101692718,Along Roadway,2017,6/22/2017,1635,Suspected Minor Injury,0,1,0,1,2,Vehicle in Transport,REAR-END,Rain,Daylight,Automatic,16
Point,521,15SR032001,12.284,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102408361,Along Roadway,2019,5/30/2019,1450,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,14
Point,522,15SR032001,12.662,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101626115,Along Roadway,2017,4/21/2017,2203,Suspected Serious Injury,0,3,1,2,2,Vehicle in Transport,HEAD-ON,Rain,Dark-Not Lighted,Automatic,22
Point,523,15SR032001,12.702,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102429947,Along Roadway,2019,6/27/2019,725,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,7
Point,524,15SR032001,12.771,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102176453,Along Roadway,2018,10/9/2018,734,Suspected Minor Injury,0,2,0,2,2,Vehicle in Transport,HEAD-ON,Cloudy,Daylight,Automatic,7
Point,525,15SR032001,13.011,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101733936,Along Roadway,2017,8/15/2017,1400,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,14
Point,526,15SR032001,13.035,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102457231,Along Roadway,2019,7/24/2019,1548,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,"SIDESWIPE, OPP DIR",Clear,Daylight,Automatic,15
Point,527,15SR032001,13.193,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101800000,Along Roadway,2017,10/21/2017,2210,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,ANGLE,Clear,Dark-Not Lighted,Automatic,22
Point,528,15SR032001,13.217,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101998576,Along Roadway,2018,4/28/2018,1405,Prop Damage (over),0,0,0,0,3,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,14
Point,529,15SR032001,13.241,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101580298,Along Roadway,2017,3/10/2017,1816,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,18
Point,530,15SR032001,13.263,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101778057,Along Roadway,2017,9/30/2017,1505,Suspected Minor Injury,0,4,0,4,3,Vehicle in Transport,REAR-END,Clear,Daylight,Automatic,15
Point,531,15SR032001,13.264,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,101692698,Along Roadway,2017,7/1/2017,1800,Suspected Minor Injury,0,1,0,1,2,Vehicle in Transport,ANGLE,Clear,Daylight,Automatic,18
Point,532,15SR032001,13.311,NON_JUNCTION,On Roadway --,,COCKE,SR032,0-NONE,1,102445644,Along Roadway,2019,7/12/2019,1458,Prop Damage (over),0,0,0,0,2,Vehicle in Transport,REAR-END,Cloudy,Daylight,Automatic,14
